,Wine,ID,Slug,Appellation,Color,Type,Region,Country,Classification,Vintage,Date,Primeurs,Score,Confidence,# ratings,LWIN,LWIN11
81,"Clos L'Eglise, Pomerol",43888,clos-leglise-pomerol,Pomerol,Red,,Bordeaux,France,,2000,2019-10-21,False,93.26,B,9,1008371,
82,"Chateau Pape Clement, Pessac Leognan",39768,chateau-pape-clement-pessac-leognan,Pessac Leognan,Red,,Bordeaux,France,Grand Cru Classé de Graves,1988,2019-10-21,False,91.66,B,3,1013690,
83,"Chateau Fougas Maldoror, Maldoror, Cotes De Bourg",35831,chateau-fougas-maldoror-maldoror-cotes-de-bourg,Cotes De Bourg,Red,,Bordeaux,France,,2014,2019-10-21,False,88.19,B+,4,,
84,"Chateau Climens, Blanc, Barsac",33283,chateau-climens-blanc-barsac,Barsac,White,sweet,Bordeaux,France,1er Grand Cru Classé en 1855,1996,2019-10-19,False,90.94,B,8,1016691,
85,"Chateau La Mission Haut Brion, Pessac Leognan",37533,chateau-la-mission-haut-brion-pessac-leognan,Pessac Leognan,Red,,Bordeaux,France,Grand Cru Classé de Graves,2000,2019-10-17,False,96.04,B,11,1013179,
86,"Chateau Palmer, Margaux",39755,chateau-palmer-margaux,Margaux,Red,,Bordeaux,France,3eme Grand Cru classé en 1855,2000,2019-10-17,False,94.86,B+,12,1013658,
87,"Chateau Montrose, Saint Estephe",39489,chateau-montrose-saint-estephe,Saint Estephe,Red,,Bordeaux,France,2eme Grand Cru classé en 1855,2000,2019-10-17,False,94.66,A+,13,1013296,
88,"Chateau Pichon Longueville Comtesse De Lalande, Pauillac",40020,chateau-pichon-longueville-comtesse-de-lalande-pauillac,Pauillac,Red,,Bordeaux,France,2eme Grand Cru classé en 1855,2000,2019-10-17,False,93.47,B,11,1014176,
89,"Chateau Canon, Saint Emilion Grand Cru",32990,chateau-canon-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,Premier Grand Cru classé B,1982,2019-10-14,False,93.35,B+,8,1007521,
90,"Chateau Malartic Lagraviere, Blanc, Pessac Leognan",38989,chateau-malartic-lagraviere-blanc-pessac-leognan,Pessac Leognan,White,dry,Bordeaux,France,Grand Cru Classé de Graves,2013,2019-10-13,False,90.88,A,18,1017278,
91,"Chateau Latour Martillac, Blanc, Pessac Leognan",38170,chateau-latour-martillac-blanc-pessac-leognan,Pessac Leognan,White,dry,Bordeaux,France,Grand Cru Classé de Graves,2017,2019-10-13,False,90.61,A+,14,1017210,
92,"Chateau Latour Martillac, Pessac Leognan",38173,chateau-latour-martillac-pessac-leognan,Pessac Leognan,Red,,Bordeaux,France,Grand Cru Classé de Graves,2017,2019-10-13,False,89.96,A,12,1012332,
93,"Chateau Smith Haut Lafitte, Blanc, Pessac Leognan",40939,chateau-smith-haut-lafitte-blanc-pessac-leognan,Pessac Leognan,White,dry,Bordeaux,France,,2000,2019-10-13,False,89.65,B+,9,1017627,
94,"Chateau D'Arche, Blanc, Sauternes",33574,chateau-darche-blanc-sauternes,Sauternes,White,sweet,Bordeaux,France,2eme Grand Cru classé en 1855,2010,2019-10-13,False,88.41,A,13,,
95,"Chateau La Fleur Morange, Saint Emilion Grand Cru",37336,chateau-la-fleur-morange-saint-emilion-grand-cru,Saint Emilion Grand Cru,Red,,Bordeaux,France,Grand Cru classé,2009,2019-10-12,False,93.04,B+,7,1010064,
96,"Chateau Mouton Rothschild, Pauillac",39642,chateau-mouton-rothschild-pauillac,Pauillac,Red,,Bordeaux,France,1er Grand Cru Classé en 1855,1993,2019-10-12,False,89.16,B+,6,1013544,
97,"Chateau Branaire-Ducru, Saint Julien",32789,chateau-branaire-ducru-saint-julien,Saint Julien,Red,,Bordeaux,France,4eme Grand Cru classé en 1855,1998,2019-10-04,False,88.7,A,7,1007257,
98,"Chateau Malartic Lagraviere, Pessac Leognan",38993,chateau-malartic-lagraviere-pessac-leognan,Pessac Leognan,Red,,Bordeaux,France,Grand Cru Classé de Graves,2003,2019-10-03,False,88.08,B,10,1012677,
99,"Chateau Cos D'Estournel, Saint Estephe",33389,chateau-cos-destournel-saint-estephe,Saint Estephe,Red,,Bordeaux,France,2eme Grand Cru classé en 1855,1999,2019-10-02,False,88.65,B,8,1008788,
